Number,Location,Price,Description
Tel: +60173...,"Bukit Bintang, Kuala Lumpur","RM 650,000(RM 1208.18 per sq. ft.)",Condominium -Built-up : 538 sq. ft. -Fully furnished
Tel: +60112...,"Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 1,750,000(RM 745.95 per sq. ft.)","Condominium | Corner lot -Built-up : 2,346 sq. ft. -Partly furnished"
Tel: +60193...,"Bukit Jalil, Kuala Lumpur","RM 600,000(RM 485.44 per sq. ft.)","Condominium | Intermediate -Built-up : 1,236 sq. ft. -Partly furnished"
Tel: +60111...,"KL City, Kuala Lumpur","From RM 541,000","Apartment -Built-up : From 1,184 sq. ft."
Tel: +60166...,"Mont Kiara, Kuala Lumpur","RM 750,000(RM 1077.59 per sq. ft.)",Serviced Residence | Intermediate -Built-up : 696 sq. ft.
Tel: +60126...,"Taman Tun Dr Ismail, Kuala Lumpur","RM 6,500,000(RM 1031.75 per sq. ft.)","Bungalow | Intermediate -Built-up : 6,300 sq. ft. -Partly furnished"
Tel: 1700-8...,"Bukit Jalil, Kuala Lumpur","From RM 553,000 - RM 843,000","Condominium -Built-up : From 805 - 1,209 sq. ft."
Tel: +60169...,"Kepong, Kuala Lumpur","RM 1,250,000(RM 378.79 per sq. ft.)","3-sty Terrace/Link House | Intermediate -Built-up : 3,300 sq. ft. -Partly furnished"
Tel: +60173...,"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,200,000(RM 1047.62 per sq. ft.)","2-sty Terrace/Link House | Intermediate -Built-up : 2,100 sq. ft. -Fully furnished"
Tel: +60111...,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 850,000(RM 680 per sq. ft.)","Condominium | Intermediate -Built-up : 1,250 sq. ft. -Partly furnished"
Tel: +60126...,"City Centre, Kuala Lumpur","From RM 507,800 - RM 836,800",Serviced Residence -Built-up : From 660 - 922 sq. ft.
Tel: +60127...,"Desa ParkCity, Kuala Lumpur","RM 980,000(RM 763.83 per sq. ft.)","Condominium -Built-up : 1,283 sq. ft. -Partly furnished"
Tel: +60111...,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 730,000(RM 670.96 per sq. ft.)","Condominium | Intermediate -Built-up : 1,088 sq. ft. -Partly furnished"
Tel: +60126...,"Kepong, Kuala Lumpur","RM 550,000(RM 572.92 per sq. ft.)",Condominium | Intermediate -Built-up : 960 sq. ft. -Partly furnished
Tel: +60322...,"Bangsar, Kuala Lumpur","From RM 714,250 - RM 1,532,000","Serviced Residence -Built-up : From 947 - 2,002 sq. ft."
Tel: +60122...,"KLCC, Kuala Lumpur","RM 1,690,000(RM 1371.75 per sq. ft.)","Condominium -Built-up : 1,232 sq. ft. -Partly furnished"
Tel: +60122...,"Damansara Heights, Kuala Lumpur","RM 6,500,000(RM 1625 per sq. ft.)","Bungalow | Intermediate -Built-up : 4,000 sq. ft. -Unfurnished"
Tel: +60102...,"Bandar Damai Perdana, Kuala Lumpur","RM 800,000(RM 555.56 per sq. ft.)","2-sty Terrace/Link House -Built-up : 1,440 sq. ft."
Tel: +60129...,"Mont Kiara, Kuala Lumpur","RM 995,000(RM 886.81 per sq. ft.)","Condominium -Built-up : 1,122 sq. ft."
Tel: +60164...,"KL City, Kuala Lumpur","RM 1,000,000(RM 1199.04 per sq. ft.)",Serviced Residence | Intermediate -Built-up : 834 sq. ft. -Partly furnished
Tel: +60142...,"Mont Kiara, Kuala Lumpur","RM 650,000(RM 907.82 per sq. ft.)",Serviced Residence -Built-up : 716 sq. ft. -Unfurnished
Tel: +60193...,"Bukit Jalil, Kuala Lumpur","RM 835,000(RM 958.67 per sq. ft.)",Serviced Residence -Built-up : 871 sq. ft. -Partly furnished
Tel: +60142...,"Country Heights Damansara, Kuala Lumpur","RM 962,000(RM 674.61 per sq. ft.)","Serviced Residence -Built-up : 1,426 sq. ft. -Partly furnished"
Tel: +60142...,"Country Heights Damansara, Kuala Lumpur","RM 630,000(RM 681.82 per sq. ft.)",Serviced Residence -Built-up : 924 sq. ft. -Partly furnished
